"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0007J04S","1987","40.17","-107.06","2773.7","CROSHO, CO US","","","","","       109","T","       109","T","         1","T","","","","","","","","","","","","","","","","","  48.3"," ,T,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    618.6"," ,T","","","","","",""
"USS0007J04S","1988","40.17","-107.06","2773.7","CROSHO, CO US","","","","","       119","T","       119","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0425, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    714.9"," ,T","","","","","",""
"USS0007J04S","1989","40.17","-107.06","2773.7","CROSHO, CO US","","","","","       112","T","       112","T","         1","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0403, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    579.9"," ,T","","","","","",""
"USS0007J04S","1990","40.17","-107.06","2773.7","CROSHO, CO US","","","","","       117","T","       117","T","         1","T","","","","","","","","","","","","","","","","","  33.0"," ,T,0703, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    620.4"," ,T","","","","","",""
"USS0007J04S","1991","40.17","-107.06","2773.7","CROSHO, CO US","","","","","       140","T","       140","T","         1","T","","","","","","","","","","","","","","","","","  40.6"," ,T,0305, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    706.2"," ,T","","","","","",""
"USS0007J04S","1992","40.17","-107.06","2773.7","CROSHO, CO US","","","","","       134","T","       134","T","         0","T","","","","","","","        43","T","        50","T","         0","T","","","","","  22.9"," ,T,0715, ","   27.3","T,0820, ","","","","","","","","","","","","","","","","","","","","","","","","","    617.4"," ,T","","","     11.26","T","",""
"USS0007J04S","1993","40.17","-107.06","2773.7","CROSHO, CO US","","","","","       151","T","       151","T","         0","T","","","","","","","        41","T","        57","T","         0","T","","","","","  15.2"," ,T,1123,+","   28.9","T,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","    700.5"," ,T","","","     10.56","T","",""
"USS0007J04S","1994","40.17","-107.06","2773.7","CROSHO, CO US","      2.1","","       2.1","T","       132","T","       132","T","         1","T","","","        34","T","       233","T","        38","T","        86","T","         0","T","  -29.3","T,0131, ","","","  27.9"," ,T,0801, ","   28.8","T,0722, ","-0.1","T,0914","-3.8","T,0921","-4.7","T,0922","-7.6","T,1016","-9.9","T,1103","0.0","T,0708","-3.3","T,0521","-4.7","T,0504","-7.7","T,0429","-9.1","T,0409","","","","","    556.5"," ,T","      3.76","T","     12.10","T","     -4.57","T"
"USS0007J04S","1995","40.17","-107.06","2773.7","CROSHO, CO US","      0.0","","       0.0","T","       173","T","       173","T","         0","T","","","        25","T","       263","T","        32","T","        59","T","         0","T","  -26.9","T,0101, ","","","  22.9"," ,T,0508,+","   29.6","T,0728, ","-0.3","T,0912","-2.4","T,0920","-7.9","T,0921","-7.9","T,0921","-9.0","T,0922","0.0","T,0624","-2.3","T,0611","-5.4","T,0528","-7.3","T,0513","-9.9","T,0501","    5500.6","6","    5500.6","T","    968.6"," ,T","      3.29","T","     11.12","T","     -4.54","T"
"USS0007J04S","1996","40.17","-107.06","2773.7","CROSHO, CO US","      0.4","","       0.4","T","       143","T","       143","T","         3","T","","","        28","T","       231","T","        55","T","        77","T","         0","T","  -28.6","T,1217, ","","","  27.9"," ,T,0131, ","   29.7","T,0814, ","-0.2","T,0805","-3.5","T,0918","-6.9","T,0926","-6.9","T,0926","-10.0","T,0927","-1.0","T,0607","-2.8","T,0521","-11.7","T,0429","-11.7","T,0429","-11.7","T,0429","    5332.1","1","    5332.1","T","    838.6"," ,T","      3.56","T","     11.55","T","     -4.42","T"
